;jubilarse;przechodzić na emeryturę;;;
;jugar ;grać ;;;
;jurar;przysięgać;;;
;juzgar;skazywać, wydawać wyrok;;;
;ladrar;szczekać;;;
;lamentarse;ubolewać, rozpaczać;;;
;lamer;lizać;;;
;lanzar ;rzucać, wprowadzać;;;
;latir;pulsować, bić;;;
;lavar ;myć;;;
;leer ;czytać ;;;
;legar;zostawić, pozostawić;;;
;levantarse ;wstawać ;;;
;liar;obwiązywać (np. paczkę), uwikłać, wplątać;;;
;licenciarse;bronić pracę magisterską;;;
;lidiar , luchar ;walczyć;;;
;ligar;podrywać;;;
;limpiar ;czyścić;;;
;llamar ;Dzwonić, wołać;;;
;llamarse ;nazywać się;;;
;llegar ;przybywać;;;
;llenar;wypełniać;;;
;llevar ;nosić, zawierać;;;
;llevar a cabo;doprowadzać do końca;;;
;llevarse;brać ze sobą;;;
;llograrse;udawać się;;;
;llorar ;płakać ;;;
;llover;padać (o deszczu);;;
;lograr ;osiągnąć, zdobyć;;;
;lucir;błyszczeć;;;
;machacar;rozgniatać, kuć;;;
;madrugar;wstawać wcześnie;;;
;manchar;plamić;;;
;mandar ;kazać, wysyłać;;;
;manejar;posługiwać się, operować, obsługiwać;;;
;mangar , robar;kraść ;;;
;manifestar;oświadczać, okazywać;;;
;maniobrar;manewrować;;;
;mantener ;dotrzymywać, zachowywać, utrzymywać;;;
;maravillar;zachwycać (się);;;
;marcar ;zaznaczać, podkreślać;;;
;marchar;maszerować;;;
;marcharse;odchodzić;;;
;marearse;mieć chorobę morską;;;
;matar;zabijać;;;
;matricular , registrarse;zarejestrować, zapisać się ;;;
;maullar;miauczeć;;;
;mecer;kołysać;;;
;medir;mierzyć;;;
;mentir ;kłamać ;;;
;merecer , valer;zasługiwać, być wartym ;;;
;merendar;jeść podwieczorek;;;
;meter ;wstawiać, wkładać, lokować;;;
;mezclar;mieszać ;;;
;mezclarse;wtrącać się;;;
;mimar;pieścić, troszczyć się;;;
;mirar ;patrzeć;;;
;mojar;moczyć, zwilżać;;;
;moler;mleć;;;
;montar;składać (rzecz), wsiadać, jeździć (na rowerze);;;
;morder ;gryźć ;;;
;morir ;umierać ;;;
;multar;karać mandatem, grzywną;;;
;multiplicar;mnożyć, rozmnażać;;;
;nacer;rodzić się;;;
;nadar;pływać;;;
;navegar ;żeglować, surfować;;;
;necesitar ;potrzebować ;;;
;negociar;negocjować;;;
;nevar ;padać (o śniegu);;;
;nutrir;żywić, odżywiać;;;
;obedecer;być posłusznym;;;
;obligarse;zobowiązywać się;;;
;obsequiar;obdarowywać;;;
;obstinarse;upierać się;;;
;obtener ;otrzymać ;;;
;ocuparse;zajmować się, opiekować się, dbać;;;
;ocurrir ;wydarzać się;;;
;ocurrirse;wpaść na pomysł;;;
;ofrecer ;oferować ;;;
;oir ;słyszeć ;;;
;oler;pachnieć;;;
;olvidar ;zapominać ;;;
;oponer;przeciwstawiać;;;
;ordenar;porządkować, zarządzać;;;
;organisar;organizować;;;
;otorgar;nadawać, udzielać;;;
;padecer;cierpieć ;;;
;pagar ;płacić ;;;
;parar ;zatrzymywać się, przestawać;;;
;parecer ;wyglądać, wydawać się;;;
;parecerse;być podobnym;;;
;parpadear;mrugać;;;
;participar;uczestniczyć;;;
;pasar;przechodzić, przejeżdżać, wydarzać się;;;
;pasear ;spacerować;;;
;patinar ;ślizgać się;;;
;pecar;grzeszyć;;;
;pedir ;prosić ;;;
;pegar;uderzać ;;;
;peinarse ;czesać się;;;
;pender;wisieć, zwisać;;;
;pensar ;myśleć;;;
;perder ;gubić, tracić;;;
;perjudicar;szkodzić, wpływać ujemnie, niszczyć;;;
;permitir , tolerar;dopuszczać, tolerować;;;
;perseguir;gonić, ścigać;;;
;persuadir;perswadować;;;
;pescar;łowić;;;
;piar;piszczeć;;;
;picar ;skubać, dźgać, pukać, swędzić;;;
;pignorar;oddawać w zastaw;;;
;pinchar;przebijać;;;
;pintar ;malować ;;;
;pisar;deptać;;;
;placer , gustar;podobać się ;;;
;planchar ;prasować ;;;
;poblar;kolonizować, zasiedlać, zaludniać;;;
;podar;przycinać;;;
;poder ;móc ;;;
;podrir;gnić;;;
;poner ;kłaść ;to put;;
;poner bote;zrzucać się;;;
;ponerse ;zakładać (ubranie);;;
;ponerse de pie;wstawać;to get up, to stand;;
;poseer ;posiadać;;;
;preferir;woleć;;;
;preguntar;pytać ;;;
;prescindir;pomijać, obywać się bez;;;
;preservar;zabezpieczać, chronić;;;
;prestar ;pożyczać ;;;
;prevenir;zapobiegać;;;
;procurar;próbować, starać się;;;
;prohibir;zabraniać;;;
;prometer;obiecywać;;;
;proponer ;proponować, przedstawiać;;;
;provocar;prowokować, podburzać;;;
;quebrar,  romper;łamać, psuć (łamać, rozbijać);;;
;quedar;umawiać się, zostawać;;;
;quedarse;zostawać;;;
;quejarse ;skarżyć się, narzekać;to complain;;
;quemar;przypalać (jedzenie);;;
;quemarse;sparzyć się;;;
;querer ;kochać, chcieć;;;
;quitar ;usuwać, ścierać, zmniejszać;;;
;rallar;trzeć;;;
;rascar;drapać, zdrapywać;;;
;rebasar;przewyższać, przekraczać;;;
;rebobinar;przewijać;;;
;rechazar ;odrzucać, odpierać;;;
;recibir ;otrzymywać, witać;;;
;recoger ;zbierać, odbierać, chować, gromadzić;;;
;recolectar;gromadzić, zbierać;;;
;recomendar ;polecać, rekomendować;;;
;reconciliarse;pogodzić się;;;
;reconocer ;rozpoznawać;;;
;recopilar;zbierać (dane);;;
;recordar ;pamiętać ;;;
;recuperar ;odzyskiwać, utylizować;;;
;recurrir;wnosić apelację, zwracać się;;;
;reducir ;zmniejszać;;;
;reemplezar;zastępować, wymieniać;;;
;regalar;darować (prezenty);;;
;regar ;podlewać;;;
;regatear;targować się;;;
;regir;rządzić;;;
;registrar;sprawdzać;;;
;registrarse , matricular;zapisać się, zameldować się ;;;
;rehacer;zrobić ponownie;;;
;reírse;śmiać się;;;
;relinchar;rżeć;;;
;rematar;wykańczać, dobijać;;;
;remolcar;holować;;;
